"Feature","Coefficient"
"Z_FOSB",1.39842075198685
"X_JAM2",0.875930149480561
"X_UNK",0.87388980093416
"X_VIM.AS1",0.512292819369373
"Z_ENSG00000224376",0.275645125097893
"X_FOXN2",0.251234170331493
"Z_HLA.DRB4",0.236644815533871
"Z_PPP1R15A",0.194216525866687
"X_ENTHD1",0.174388612279788
"X_BET1",0.148819446386728
"X_ZSCAN18",0.0634909621249754
"X_LGALS9C",0.0585984484226956
"X_TMIGD2",0.0552939456802587
"X_SOS1",-0.0500553881453142
"X_TRIM40.5",0.00370696422309874
"X_TRIM40",0.00186575997547306
"Z_MPIG6B.5",4.76606848548492e-16
